Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
258	0.3	0.	7.5e-002	9.1214e+006
259	0.3	2.5e-002	5.e-002	6.2454e+007
260	0.3	-2.5e-002	5.e-002	6.3638e+007
261	0.225	-8.6736e-019	5.e-002	8.1004e+006
262	0.25	-9.2445e-033	2.5e-002	9.1136e+006
263	0.25	-3.0815e-033	7.5e-002	9.1136e+006
264	0.25	2.5e-002	5.e-002	6.7029e+007
265	0.25	-2.5e-002	5.e-002	6.8052e+007
266	0.175	-8.6736e-019	5.e-002	8.0598e+006
267	0.2	-2.6021e-018	2.5e-002	9.191e+006
268	0.2	-8.6736e-019	7.5e-002	9.191e+006
269	0.2	2.5e-002	5.e-002	7.1238e+007
270	0.2	-2.5e-002	5.e-002	7.2795e+007
271	0.125	-8.6736e-019	5.e-002	1.0523e+007
272	0.15	1.3867e-032	2.5e-002	9.22e+006
273	0.15	4.6222e-033	7.5e-002	9.22e+006
274	0.15	2.5e-002	5.e-002	7.6844e+007
275	0.15	-2.5e-002	5.e-002	7.6394e+007
276	7.5e-002	-8.6736e-019	5.e-002	2.9545e+007
277	0.1	-2.6021e-018	2.5e-002	1.319e+007
278	0.1	-8.6736e-019	7.5e-002	1.319e+007
279	0.1	2.5e-002	5.e-002	7.3928e+007
280	0.1	-2.5e-002	5.e-002	8.922e+007
281	5.e-002	-4.6222e-033	2.5e-002	3.9058e+007
282	5.e-002	-1.5407e-033	7.5e-002	3.9058e+007
283	2.5e-002	-1.5407e-033	5.e-002	8.6615e+007
284	5.e-002	2.5e-002	5.e-002	6.9892e+007
285	5.e-002	-2.5e-002	5.e-002	1.222e+008
286	7.5e-002	-1.7347e-018	0.	2.6146e+007
287	2.5e-002	-3.0815e-033	0.	1.0204e+008
288	5.e-002	2.5e-002	0.	9.7299e+007
289	5.e-002	-2.5e-002	0.	1.0958e+008
290	0.125	-1.7347e-018	0.	1.1249e+007
291	0.1	2.5e-002	0.	8.3272e+007
292	0.1	-2.5e-002	0.	7.732e+007
293	0.175	-1.7347e-018	0.	1.0316e+007
294	0.15	2.5e-002	0.	7.7047e+007
295	0.15	-2.5e-002	0.	7.7301e+007
296	0.225	-1.7347e-018	0.	1.0257e+007
297	0.2	2.5e-002	0.	7.2977e+007
298	0.2	-2.5e-002	0.	7.1625e+007
299	0.275	-6.163e-033	0.	1.0221e+007
300	0.25	2.5e-002	0.	6.8437e+007
301	0.25	-2.5e-002	0.	6.7329e+007
302	0.325	0.	0.	1.022e+007
303	0.3	2.5e-002	0.	6.3961e+007
304	0.3	-2.5e-002	0.	6.2807e+007
305	0.375	5.5467e-032	0.	1.0219e+007
306	0.35	2.5e-002	0.	5.9481e+007
307	0.35	-2.5e-002	0.	5.8334e+007
308	0.425	-3.4694e-018	0.	1.0219e+007
309	0.4	2.5e-002	0.	5.5004e+007
310	0.4	-2.5e-002	0.	5.3858e+007
311	0.475	-6.9389e-018	0.	1.0219e+007
312	0.45	2.5e-002	0.	5.0532e+007
313	0.45	-2.5e-002	0.	4.9387e+007
314	0.525	-3.4694e-018	0.	1.0219e+007
315	0.5	2.5e-002	0.	4.6065e+007
316	0.5	-2.5e-002	0.	4.4922e+007
317	0.575	2.4652e-032	0.	1.0218e+007
318	0.55	2.5e-002	0.	4.1606e+007
319	0.55	-2.5e-002	0.	4.0464e+007
320	0.625	2.4652e-032	0.	1.0218e+007
321	0.6	2.5e-002	0.	3.7156e+007
322	0.6	-2.5e-002	0.	3.6017e+007
323	0.675	2.4652e-032	0.	1.0216e+007
324	0.65	2.5e-002	0.	3.2721e+007
325	0.65	-2.5e-002	0.	3.1584e+007
326	0.725	-3.6978e-032	0.	1.0211e+007
327	0.7	2.5e-002	0.	2.8306e+007
328	0.7	-2.5e-002	0.	2.7172e+007
329	0.775	3.4694e-018	0.	1.0208e+007
330	0.75	2.5e-002	0.	2.3926e+007
331	0.75	-2.5e-002	0.	2.2795e+007
332	0.825	3.4694e-018	0.	1.02e+007
333	0.8	2.5e-002	0.	1.9603e+007
334	0.8	-2.5e-002	0.	1.846e+007
335	0.875	3.4513e-031	0.	1.0432e+007
336	0.85	2.5e-002	0.	1.5399e+007
337	0.85	-2.5e-002	0.	1.4215e+007
338	0.925	-1.7347e-018	0.	1.1953e+007
339	0.9	2.5e-002	0.	1.1135e+007
340	0.9	-2.5e-002	0.	1.0396e+007
341	0.95	2.5e-002	0.	6.1833e+006
342	0.975	-1.7347e-018	0.	8.9471e+006
343	0.95	-2.5e-002	0.	9.0719e+006
344	0.925	0.	0.1	1.1953e+007
345	0.95	-2.5e-002	0.1	9.0719e+006
346	0.975	0.	0.1	8.9471e+006
347	0.95	2.5e-002	0.1	6.1833e+006
348	0.875	0.	0.1	1.0432e+007
349	0.9	-2.5e-002	0.1	1.0396e+007
350	0.9	2.5e-002	0.1	1.1135e+007
351	0.825	0.	0.1	1.02e+007
352	0.85	-2.5e-002	0.1	1.4215e+007
353	0.85	2.5e-002	0.1	1.5399e+007
354	0.775	0.	0.1	1.0208e+007
355	0.8	-2.5e-002	0.1	1.846e+007
356	0.8	2.5e-002	0.1	1.9603e+007
357	0.725	0.	0.1	1.0211e+007
358	0.75	-2.5e-002	0.1	2.2795e+007
359	0.75	2.5e-002	0.1	2.3926e+007
360	0.675	0.	0.1	1.0216e+007
361	0.7	-2.5e-002	0.1	2.7172e+007
362	0.7	2.5e-002	0.1	2.8306e+007
363	0.625	0.	0.1	1.0218e+007
364	0.65	-2.5e-002	0.1	3.1584e+007
365	0.65	2.5e-002	0.1	3.2721e+007
366	0.575	0.	0.1	1.0218e+007
367	0.6	-2.5e-002	0.1	3.6017e+007
368	0.6	2.5e-002	0.1	3.7156e+007
369	0.525	0.	0.1	1.0219e+007
370	0.55	-2.5e-002	0.1	4.0464e+007
371	0.55	2.5e-002	0.1	4.1606e+007
372	0.475	0.	0.1	1.0219e+007
373	0.5	-2.5e-002	0.1	4.4922e+007
374	0.5	2.5e-002	0.1	4.6065e+007
375	0.425	0.	0.1	1.0219e+007
376	0.45	-2.5e-002	0.1	4.9387e+007
377	0.45	2.5e-002	0.1	5.0532e+007
378	0.375	0.	0.1	1.0219e+007
379	0.4	-2.5e-002	0.1	5.3858e+007
380	0.4	2.5e-002	0.1	5.5004e+007
381	0.325	0.	0.1	1.022e+007
382	0.35	-2.5e-002	0.1	5.8334e+007
383	0.35	2.5e-002	0.1	5.9481e+007
384	0.275	0.	0.1	1.0221e+007
385	0.3	-2.5e-002	0.1	6.2807e+007
386	0.3	2.5e-002	0.1	6.3961e+007
387	0.225	0.	0.1	1.0257e+007
388	0.25	-2.5e-002	0.1	6.7329e+007
389	0.25	2.5e-002	0.1	6.8437e+007
390	0.175	0.	0.1	1.0316e+007
391	0.2	-2.5e-002	0.1	7.1625e+007
392	0.2	2.5e-002	0.1	7.2977e+007
393	0.125	0.	0.1	1.1249e+007
394	0.15	-2.5e-002	0.1	7.7301e+007
395	0.15	2.5e-002	0.1	7.7047e+007
396	7.5e-002	0.	0.1	2.6146e+007
