Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
546	0.425	5.e-002	0.	1.6213e-003
547	0.475	5.e-002	0.	1.9047e-003
548	0.525	5.e-002	0.	2.2066e-003
549	0.575	5.e-002	0.	2.5251e-003
550	0.625	5.e-002	0.	2.8581e-003
551	0.675	5.e-002	0.	3.2036e-003
552	0.725	5.e-002	0.	3.5595e-003
553	0.775	5.e-002	0.	3.9236e-003
554	0.825	5.e-002	0.	4.2938e-003
555	0.875	5.e-002	0.	4.6678e-003
556	0.925	5.e-002	0.	5.0433e-003
557	0.975	5.e-002	0.	5.4185e-003
558	1.	5.e-002	2.5e-002	5.6124e-003
559	1.	2.5e-002	0.	5.5729e-003
560	1.	2.5e-002	5.e-002	5.5743e-003
561	1.	0.	2.5e-002	5.5459e-003
562	1.	-2.5e-002	5.e-002	5.5291e-003
563	1.	-2.5e-002	0.	5.527e-003
564	1.	-5.e-002	2.5e-002	5.5199e-003
565	0.975	-5.e-002	0.	5.3292e-003
566	0.975	-5.e-002	5.e-002	5.3314e-003
567	0.925	-5.e-002	5.e-002	4.9499e-003
568	0.95	-5.e-002	2.5e-002	5.1408e-003
569	0.875	-5.e-002	5.e-002	4.5673e-003
570	0.9	-5.e-002	2.5e-002	4.758e-003
571	0.825	-5.e-002	5.e-002	4.1867e-003
572	0.85	-5.e-002	2.5e-002	4.376e-003
573	0.775	-5.e-002	5.e-002	3.8104e-003
574	0.8	-5.e-002	2.5e-002	3.9973e-003
575	0.725	-5.e-002	5.e-002	3.4407e-003
576	0.75	-5.e-002	2.5e-002	3.624e-003
577	0.675	-5.e-002	5.e-002	3.0798e-003
578	0.7	-5.e-002	2.5e-002	3.2584e-003
579	0.625	-5.e-002	5.e-002	2.7299e-003
580	0.65	-5.e-002	2.5e-002	2.9027e-003
581	0.575	-5.e-002	5.e-002	2.3932e-003
582	0.6	-5.e-002	2.5e-002	2.5591e-003
583	0.525	-5.e-002	5.e-002	2.0718e-003
584	0.55	-5.e-002	2.5e-002	2.2298e-003
585	0.475	-5.e-002	5.e-002	1.7679e-003
586	0.5	-5.e-002	2.5e-002	1.917e-003
587	0.425	-5.e-002	5.e-002	1.4837e-003
588	0.45	-5.e-002	2.5e-002	1.6228e-003
589	0.375	-5.e-002	5.e-002	1.2212e-003
590	0.4	-5.e-002	2.5e-002	1.3493e-003
591	0.325	-5.e-002	5.e-002	9.8245e-004
592	0.35	-5.e-002	2.5e-002	1.0987e-003
593	0.275	-5.e-002	5.e-002	7.6922e-004
594	0.3	-5.e-002	2.5e-002	8.7286e-004
595	0.225	-5.e-002	5.e-002	5.8315e-004
596	0.25	-5.e-002	2.5e-002	6.736e-004
597	0.175	-5.e-002	5.e-002	4.2528e-004
598	0.2	-5.e-002	2.5e-002	5.0246e-004
599	0.125	-5.e-002	5.e-002	2.9673e-004
600	0.15	-5.e-002	2.5e-002	3.6046e-004
601	7.5e-002	-5.e-002	5.e-002	1.9669e-004
602	0.1	-5.e-002	2.5e-002	2.48e-004
603	5.e-002	-5.e-002	2.5e-002	1.5831e-004
604	0.925	-5.e-002	0.	4.9476e-003
605	0.875	-5.e-002	0.	4.5648e-003
606	0.825	-5.e-002	0.	4.1841e-003
607	0.775	-5.e-002	0.	3.8078e-003
608	0.725	-5.e-002	0.	3.4379e-003
609	0.675	-5.e-002	0.	3.077e-003
610	0.625	-5.e-002	0.	2.7271e-003
611	0.575	-5.e-002	0.	2.3904e-003
612	0.525	-5.e-002	0.	2.0692e-003
613	0.475	-5.e-002	0.	1.7657e-003
614	0.425	-5.e-002	0.	1.482e-003
615	0.375	-5.e-002	0.	1.2203e-003
616	0.325	-5.e-002	0.	9.8276e-004
617	0.275	-5.e-002	0.	7.7142e-004
618	0.225	-5.e-002	0.	5.8825e-004
619	0.175	-5.e-002	0.	4.3483e-004
620	0.125	-5.e-002	0.	3.1342e-004
621	7.5e-002	-5.e-002	0.	2.1977e-004
